VARIACIONS INTERANUALS - ESTABLIMENTS OBERTS;;;;;;;
% var. Interanual 21/20;;;;;;;
TIPOLOGIA;ESTABLIMENTS OBERTS;;;;;;
Establiments hotelers;-7,1%;;;;;;
Càmpings;61,5%;;;;;;
Turisme Rural;50,0%;;;;;;
;;;;;;;
% var. Interanual 21/19;;;;;;;
TIPOLOGIA;ESTABLIMENTS OBERTS;;;;;;
Establiments hotelers;-36,0%;;;;;;
Càmpings;-25,0%;;;;;;
Turisme Rural;-33,6%;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;
;;;;;;;
