VARIACIONS INTERANUALS TURISME RURAL;;;;;;;;
% var. Interanual '20;;;;;;;;
;;;;;;;;
COMARQUES;Viatgers;Pernoctacions;;;;;;
Alt Penedès;178%;227%;;;;;;
Anoia;429%;492%;;;;;;
Bages;-5%;72%;;;;;;
Baix Llobregat;nd;nd;;;;;;
Berguedà;19%;45%;;;;;;
Garraf;nd;nd;;;;;;
Maresme;79%;97%;;;;;;
Moianès;-1%;80%;;;;;;
Osona;-40%;-31%;;;;;;
Vallès Occidental;nd;nd;;;;;;
Vallès Oriental;14%;58%;;;;;;
;;;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
;;;;;;;;
